date,id,content,username,likes,retweets,replies
2024-07-04 16:49:50+00:00,1808906072914076053,"Wow. Your agents are so ridiculously bad @Apple   They finally tell me that the $1,500 charge is because my device has been delayed on route to you by fedex. Your agents trying to gaslight me i to saying that’s my fault. Then telling me I’m out of luck because it’s beyond 30 days",apopleptic,0,0,0
2024-07-04 16:48:54+00:00,1808905840553845113,"True story!
#iphone15 @apple #sunset #sunsetphotography #iphonephotography #iphonography #apple #sunset_pics #sunset_pics #sunsetsky #colourful #photography #mobilephotography #mobilephotographyindia #mobigrapher #mobigraphy #coloursofindia #photographers_of_india https://t.co/KmhpjIUe3O",tejasfoferkar,1,0,0
2024-07-04 16:48:44+00:00,1808905797901881737,@cuntrigo @pillow1215 @Apple No because that's a biological male,newsofcardib,2,0,0
2024-07-04 16:48:15+00:00,1808905675499593853,@reallwymmdstan @pillow1215 @Apple Trans men are not men,newsofcardib,2,0,1
2024-07-04 16:46:37+00:00,1808905266072539417,@FAIRx818x @Apple Because it's not a pixel. It's time to come to the pixel side.,The_Mexican_Kid,0,0,0
2024-07-04 16:46:00+00:00,1808905109180723285,"@karol_paciorek @Apple @malwrhunterteam @executemalware @banthisguy9349 Interesting #Opendir even with a list of user infected as well. 

/LNK/calc.txt calls to cc_7744.rtf and first.php? 
I might be a second stage infection. 🤔

The iP address resolves: http://luzin[site/

https://t.co/zzufVsOcH5 🤦‍♂️",ShanHolo,0,0,1
2024-07-04 16:45:30+00:00,1808904982072062194,@Apple @AppleSupport Can any one help me here off @AppleSupport,pankajbodhwani,1,0,0
2024-07-04 16:44:15+00:00,1808904668338069545,yo @Apple why tf you sending screenshot notifications to apps you creepy dingbats,alexweej,0,0,0
2024-07-04 16:44:00+00:00,1808904606698873319,New photos app on iOS 18 is not it🤧 @Apple,tmcpherson24,0,0,0
2024-07-04 16:42:11+00:00,1808904146554400901,they should make an app that combines ur twitter instagram youtube tiktok into 1 feed so u dont have to switch apps.... billion dollar idea @Apple whens the beta,weedspiderman,0,0,0
2024-07-04 16:40:42+00:00,1808903776990081136,The iPhone 15 experience has been one big let down so far @apple. Horrible.,RussellParsley,0,0,0
2024-07-04 16:40:25+00:00,1808903705502363813,"Anyone else got the iPhone 15 and you take a pic and it looks good, then you look at the pic and it’s changed the entire colour of the picture?! #iphone15camera @Apple",kayleighclarkee,0,0,0
2024-07-04 16:39:07+00:00,1808903375326753241,"Because AirPods microphones is of no use after couple of years.

@Apple needs to hear this out.",sankalpGLE,0,0,0
2024-07-04 06:52:39+00:00,1808755786027577733,Anyone else shifting back to wired headphones? I’m finding this nice. Or am I growing old. https://t.co/a8XALOZJsk,therealjpk,786,16,213
2024-07-04 16:38:52+00:00,1808903312290328673,"@nathans_codes @FrameworkPuter @Apple Apple's whole gimmick is difficulty and getting to do everything their own way and all in their own tech stack, there's no helping it",Aresydatch,2,0,0
2024-07-04 16:36:09+00:00,1808902631404019784,"@Lenovo bucks industry practice of rapacious upgrade pricing with their ARM Laptops

16 to 32 GB memory $70
512 GB to 1 TB SSD $45

https://t.co/Ujfb6CyDP5

I'm looking at you @Apple",pjrobar,0,0,0
2024-07-04 16:36:09+00:00,1808902629524976047,"Тем временем @apple идет на поводу у роскомпозора (третий год подряд удаляя VPN сервисы из российского магазина) и это действительно важно, а не вот эти ваши договоры и квартиры и кто кому в штаны нагадил.",PKreschishin,6,0,0
2024-07-04 07:29:35+00:00,1808765082219708680,"Очень плохая новость: по требованию РКН компания Apple удалила из российского AppStore ряд клиентов VPN. Уточняю какие именно. 
Обращаюсь к пользователям из РФ — протестируйте клиенты VPN в аппсторе и сообщите мне лс, если они пропали. Пока знаю о двух. Названия сообщу позже. RT",wanderer_from,185,41,16
2024-07-04 16:36:01+00:00,1808902596234539482,@Freckleeesssss @Apple definitely will have boa do the same cause this is crazy.. they didn’t even try it until i had something on Apple Cash.,ThatDamnDyme,0,0,0
2024-07-04 16:35:57+00:00,1808902578941612152,"Happy 4th of July !
@DickieV 
Coach K
@DukeMBB hi jon 
@Apple hi Tim be blessed 
@markcuban 
@sharktankau 
@Pontifex pray 4 us 
@ChrisChristie 
@GeorgeHBrett go royals 
@elonmusk 
@TGowdySC love
@DaleJr 
I wish yall the best.  Shes a catch + Release. Ha. 

We Win. 
@Topgolf https://t.co/ntqkaoUIwY",ARTicUL8r,1,0,0
2024-07-04 16:35:18+00:00,1808902416848265558,Why is one always less than the other when I use them together? @Apple #Apple #AirPods https://t.co/77pZsonIdY,milnes2161,0,0,0
2024-07-04 16:35:18+00:00,1808902414331957402,Vaanavil koodhiyane 🤡 @Apple,NaanComrade,0,0,0
2024-07-01 00:50:25+00:00,1807577466816573686,Happy Pride! https://t.co/GNBido6LOh,tim_cook,13999,986,826
2024-07-04 16:33:21+00:00,1808901925707882810,@ThatDamnDyme @Apple 😩I had to have navy federal block them I don’t even have Apple Music anymore I switched to Spotify bc I was so over it,Freckleeesssss,0,0,1
2024-07-04 16:36:01+00:00,1808902597677625399,"https://t.co/bfIKIGLDQ9
@Apple
@lomography https://t.co/Ecm8in6AKM",paulofcabo,0,0,0
2024-07-04 19:19:27+00:00,1808943725344698380,@immasiddtweets Oh no round corners that are more comfortable to hold. and what's this??? conveniently placed antenna bands??? @Apple  SUE THEM,__Diggi__,0,0,0
2024-07-04 19:19:01+00:00,1808943618914406812,"@Apple @AppleSupport My ipad air 11 inch(M2,128gb,Wifi)model isn'tresponding to touch since few hours.What to do now?",balarama_t,0,0,0
2024-07-04 19:18:11+00:00,1808943407085277190,A @Apple podia adicionar a opção de meter grão nas fotos pff,tommysavagexx,0,0,0
2024-07-04 19:17:06+00:00,1808943132836569161,Conquistando al mundo con cada granito de arena. @Apple https://t.co/slDcStGFh0,diegograziano,0,0,0
2024-07-04 19:13:56+00:00,1808942337743335836,Instead of upgrading all devices @Apple will end up making a local network hub which will support apple intelligence and all even unsupported devices will become apple intelligence enabled.,sushantjaipuria,0,0,0
2024-07-04 19:13:27+00:00,1808942215420654072,@fobita @Ema_Ayo23 @fitbit @Apple I am certain Emma does little of the walking but compensates with an evening exercise hence the so many steps made,EngKaruru,0,0,0
2024-07-04 19:13:03+00:00,1808942115503652934,"Seems like no one cares or sees the dangers in any of this

Stocknanny getting fake reviews @Apple @AppleSupport 

People asked write only 5 ⭐️ told how to write them

https://t.co/zjSkEajFL3

@FTC @TheJusticeDept @SECGov 
$AMC $AMD $GME $UNH #Bitcoin #review #fakereviews https://t.co/YP4cruh4ae",Whistleblwr911,0,1,2
2024-07-04 19:10:53+00:00,1808941570852597992,"@EngKaruru @Ema_Ayo23 @fitbit @Apple As usual I hang around the 300-400kcals zone 😜
But Emma over does it. He makes us look lazy/weak 🙆🏾‍♂️ https://t.co/JzZitjn5El",fobita,1,0,1
2024-07-04 19:10:47+00:00,1808941544101326932,@AllThings3DPod @Apple I mean anything I can shoot with iPhone 15 Pro :),afoxdesign,0,0,0
2024-07-04 19:10:25+00:00,1808941450685788544,"@nathans_codes @FrameworkPuter @ASRockUSA @GIGABYTEUSA @ZOTAC_USA @Apple nah. they play their own game.
just stop giving them money and attention.",TKillerDragon87,0,0,0
2024-07-04 19:09:36+00:00,1808941245890269436,"@Apple i took the 3 mnths free appleTV after buying a product. I saw that it would start charging me in 3 months unless i cancel. I went and cancelled subscription, like i do with other automatically renewing subscriptions. When i did, it deleted the whole 3 month trial. Why?",_MBell_,0,0,0
2024-07-04 19:08:54+00:00,1808941069238677978,It appears to not be possible for #VoiceOver users to add app icons accessibly in Xcode versions 15 and in Xcode 16 beta. @Apple should really look into this.,mikedoise,0,0,0
2024-07-04 19:08:34+00:00,1808940987894673439,"@afoxdesign When you mean “Spatial/3D,” are you talking @Apple #VisionPro or for any HMD?

Frankly, I would like to see semi-hemispherical 3D (VR180) that you can step into or observe from a stage perspective. Even though Apple could have added this feature to #QuickLook , it chose not.",AllThings3DPod,0,0,1
